Name,OBJECTID,LEVEL_,DISTRICT,ADDRESS,CITY,ZIP,TYPE,DESCRIPT,SHAPE_Leng,SHAPE_Area,geometry
Cambridge Elementary School,27,Primary,Travis Unified,100 Cambridge Dr.,Vacaville,95687,Regular School,Public,2275.44543825000,331805.30327199999,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.949904,38.333355 -121.949913,38.333016 -121.949912,38.332919 -121.949938,38.332492 -121.949955,38.332259 -121.949961,38.331877 -121.951972,38.331888 -121.951968,38.332506 -121.951996,38.332756 -121.95201,38.33281 -121.952018,38.332852 -121.952057,38.332962 -121.952115,38.333108 -121.952151,38.33318 -121.952155,38.333191 -121.952156,38.333203 -121.952156,38.333215 -121.952153,38.333227 -121.952148,38.333238 -121.952139,38.333248 -121.952129,38.333256 -121.952116,38.333264 -121.952108,38.333268 -121.951779,38.333372 -121.951619,38.333407 -121.951469,38.333429 -121.951298,38.333448 -121.951165,38.333455 -121.951086,38.333454 -121.951044,38.333453 -121.951004,38.333453 -121.950987,38.333453 -121.950945,38.333451 -121.950905,38.33345 -121.950865,38.333447 -121.950847,38.333446 -121.950807,38.333444 -121.950785,38.333442 -121.950198,38.333383 -121.949975,38.333363 -121.949911,38.333356 -121.949904,38.333355</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Fairmont Elementary School,28,Primary,Vacaville Unified,1355 Marshall Road,Vacaville,95687,Regular School,Public,2881.70143311000,530240.43566700001,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.96599,38.344252 -121.966248,38.344186 -121.966457,38.344131 -121.966656,38.344079 -121.966855,38.344027 -121.967055,38.343975 -121.967259,38.343924 -121.967446,38.343877 -121.96747,38.343874 -121.967718,38.34385 -121.967943,38.343829 -121.967978,38.343825 -121.968144,38.344232 -121.968204,38.344372 -121.968216,38.3444 -121.968215,38.344502 -121.96821,38.344674 -121.968206,38.344851 -121.968212,38.345032 -121.96821,38.34521 -121.968208,38.345379 -121.968205,38.345545 -121.968198,38.345712 -121.968203,38.345868 -121.968203,38.346029 -121.968198,38.34632 -121.966065,38.3463 -121.966056,38.346299 -121.966044,38.346297 -121.966032,38.346293 -121.966021,38.346288 -121.966013,38.346281 -121.966006,38.346274 -121.966,38.346265 -121.965997,38.346255 -121.965995,38.346246 -121.96599,38.344252</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Sierra Vista Elementary School,29,Primary,Vacaville Unified,301 Bel Air Dr.,Vacaville,95687,Regular School,Public,2365.32273209000,334038.30161800003,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.955163,38.338992 -121.955178,38.338841 -121.955203,38.338714 -121.955244,38.338594 -121.955275,38.338518 -121.955302,38.338468 -121.955322,38.338433 -121.955362,38.338363 -121.955467,38.338226 -121.955571,38.338114 -121.955669,38.338028 -121.95581,38.337924 -121.955985,38.337819 -121.956786,38.337403 -121.956974,38.337558 -121.957096,38.337652 -121.95723,38.337759 -121.957384,38.337895 -121.957533,38.338015 -121.957778,38.338187 -121.958063,38.3384 -121.958064,38.338481 -121.958073,38.338569 -121.958091,38.338819 -121.956973,38.339218 -121.956689,38.338961 -121.955163,38.338992</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Willis Jepson Middle School,30,Middle,Vacaville Unified,580 Elder St.,Vacaville,95688,Regular School,Public,5560.96956426000,1253580.20876000010,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.007755,38.366299 -122.007487,38.366299 -122.007218,38.366297 -122.006945,38.366293 -122.00668,38.36629 -122.006413,38.36629 -122.006183,38.366289 -122.006139,38.366287 -122.00587,38.366285 -122.005611,38.366285 -122.005483,38.36628 -122.005489,38.365548 -122.005489,38.365271 -122.005489,38.364989 -122.005484,38.364716 -122.005493,38.364444 -122.00572,38.364446 -122.00572,38.364163 -122.005729,38.363609 -122.005727,38.363326 -122.005739,38.362997 -122.005742,38.362639 -122.009403,38.362675 -122.009403,38.362664 -122.010361,38.36267 -122.010511,38.362908 -122.010323,38.363145 -122.009937,38.36365 -122.009954,38.363718 -122.009994,38.363775 -122.009879,38.363876 -122.009672,38.363942 -122.009614,38.364149 -122.009598,38.364159 -122.009555,38.364142 -122.009436,38.364161 -122.009237,38.364042 -122.009105,38.364129 -122.008826,38.364135 -122.008475,38.363863 -122.008406,38.363877 -122.00831,38.364121 -122.008353,38.364466 -122.008411,38.364582 -122.008531,38.364728 -122.008036,38.364734 -122.008021,38.366304 -122.00796,38.366302 -122.007755,38.366299</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Laurel Creek Elementary School,31,Primary,Fairfield-Suisun Unified,2900 Gulf Dr.,Fairfield,94533,Regular School,Public,2443.77806570000,366662.09305000002,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.016673,38.281162 -122.016872,38.281129 -122.01746,38.281107 -122.018052,38.281288 -122.018091,38.282319 -122.017162,38.282549 -122.017139,38.282555 -122.017068,38.282572 -122.017045,38.282576 -122.01702,38.282581 -122.016996,38.282585 -122.016973,38.282589 -122.016933,38.282594 -122.015233,38.282657 -122.015185,38.281742 -122.015642,38.281708 -122.015994,38.281483 -122.016673,38.281162</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Eugene Padan Elementary School,32,Primary,Vacaville Unified,200 Padan School Road,Vacaville,95687,Regular School,Public,2616.03381998000,406280.72191600001,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.982739,38.340731 -121.982756,38.33937 -121.984674,38.339356 -121.985561,38.339348 -121.985574,38.339577 -121.985568,38.339817 -121.985573,38.34008 -121.985569,38.34031 -121.985562,38.340602 -121.985559,38.34074 -121.983863,38.340741 -121.982739,38.340731</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Travis Community Day School,34,High,Travis Unified,5011 Vanden Rd.,Vacaville,95687,Other Alternative School,Public,1139.76661206000,70053.38570630000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.960194,38.289896 -121.960897,38.289536 -121.960899,38.290681 -121.960503,38.290682 -121.960102,38.290192 -121.959956,38.29003 -121.959992,38.290005 -121.960072,38.289958 -121.960194,38.289896</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Amy Blanc Elementary School,35,Primary,Fairfield-Suisun Unified,230 Atlantic Ave.,Fairfield,94533,Regular School,Public,2909.38460204000,524564.22476600006,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.039779,38.278345 -122.03956,38.278344 -122.039363,38.27834 -122.03914,38.278333 -122.038936,38.278334 -122.038712,38.278333 -122.038492,38.278331 -122.038269,38.27833 -122.038045,38.278328 -122.037836,38.278327 -122.037611,38.278326 -122.037423,38.278327 -122.037424,38.278207 -122.037426,38.278065 -122.037426,38.278038 -122.037426,38.278006 -122.037429,38.277881 -122.037433,38.277702 -122.037436,38.277533 -122.037441,38.277357 -122.037437,38.27717 -122.037441,38.276993 -122.037444,38.27682 -122.037449,38.276635 -122.037475,38.276434 -122.03757,38.276438 -122.037898,38.276464 -122.040139,38.276478 -122.040117,38.27782 -122.040116,38.27809 -122.040114,38.278122 -122.040119,38.278345 -122.040004,38.278346 -122.039779,38.278345</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Fairfield High School,37,High,Fairfield-Suisun Unified,205 E. Atlantic Ave.,Fairfield,94533,Regular School,Public,6534.18054450000,2121487.78709999980,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-122.032427,38.276228 -122.032395,38.276227 -122.032333,38.276227 -122.032305,38.276227 -122.030212,38.276219 -122.030195,38.276218 -122.030176,38.276218 -122.026452,38.276194 -122.026453,38.275999 -122.026455,38.275836 -122.026451,38.275597 -122.026455,38.275432 -122.026457,38.275268 -122.026454,38.275106 -122.026456,38.274961 -122.026458,38.274798 -122.026459,38.274626 -122.026461,38.274465 -122.026458,38.274293 -122.02646,38.274166 -122.026462,38.273997 -122.026464,38.273831 -122.026465,38.27366 -122.026457,38.273306 -122.026445,38.272983 -122.028569,38.272997 -122.029252,38.272977 -122.030948,38.273004 -122.031391,38.273063 -122.031426,38.273066 -122.031462,38.273069 -122.031497,38.273073 -122.031534,38.273077 -122.031568,38.273082 -122.031605,38.273087 -122.03164,38.273093 -122.031675,38.273099 -122.03171,38.273106 -122.031744,38.273113 -122.031779,38.273121 -122.031845,38.273137 -122.032775,38.273372 -122.032804,38.274395 -122.032809,38.274759 -122.032819,38.275118 -122.032813,38.275491 -122.032803,38.275858 -122.032805,38.276241 -122.032427,38.276228</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-122.030663,38.276358 -122.031684,38.276356 -122.031492,38.276438 -122.031466,38.276452 -122.031372,38.276494 -122.031346,38.276508 -122.03132,38.276523 -122.031295,38.276538 -122.031271,38.276553 -122.031247,38.276569 -122.031222,38.276585 -122.031208,38.276596 -122.031185,38.276612 -122.031136,38.276637 -122.031131,38.276639 -122.031122,38.27664 -122.031117,38.276641 -122.031112,38.276642 -122.031107,38.276643 -122.031098,38.276644 -122.031093,38.276644 -122.031088,38.276644 -122.031082,38.276644 -122.031074,38.276644 -122.031068,38.276644 -122.03106,38.276643 -122.031054,38.276642 -122.031049,38.276641 -122.031044,38.27664 -122.031039,38.276639 -122.03103,38.276637 -122.031023,38.276635 -122.031018,38.276633 -122.031013,38.276631 -122.031006,38.276628 -122.031,38.276626 -122.030993,38.276622 -122.03099,38.27662 -122.030985,38.276617 -122.030981,38.276614 -122.030978,38.276611 -122.030973,38.276608 -122.030663,38.276358</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
Suisun Valley Elementary School,38,Primary,Fairfield-Suisun Unified,4985 Lambert Road,Farifield,94534,Regular School,Public,2520.29096206000,357061.28379500000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.116208,38.288562 -122.118239,38.288557 -122.118239,38.288621 -122.118278,38.289051 -122.118331,38.289305 -122.118408,38.289551 -122.11855,38.289965 -122.118332,38.289965 -122.117446,38.289973 -122.117443,38.290456 -122.117199,38.290358 -122.116462,38.290211 -122.116352,38.290149 -122.116278,38.290037 -122.116224,38.289871 -122.116194,38.289715 -122.116168,38.289509 -122.116169,38.289392 -122.116175,38.289297 -122.116198,38.288782 -122.116208,38.288562</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Alamo Elementary School,39,Primary,Vacaville Unified,500 S. Orchard Ave.,Vacaville,95688,Regular School,Public,2254.29693129000,212545.32699599999,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.001053,38.351317 -122.001483,38.350941 -122.0015,38.351361 -122.001857,38.351361 -122.001852,38.351466 -122.001964,38.351466 -122.001974,38.35173 -122.002256,38.351735 -122.002251,38.351919 -122.002294,38.352083 -122.002432,38.352158 -122.002736,38.352154 -122.002736,38.352292 -122.002922,38.352292 -122.002924,38.352592 -122.002399,38.352684 -122.002041,38.352742 -122.001689,38.352811 -122.001553,38.352678 -122.001049,38.352175 -122.00102,38.352179 -122.000542,38.351712 -122.000772,38.351554 -122.001053,38.351317</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Center Elementary,40,Primary,Travis Unified,2900 Armstrong St.,Travis AFB,94535,Regular School,Public,3068.05185341000,498360.12781300000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.952343,38.282292 -121.952904,38.282299 -121.952929,38.281494 -121.955663,38.281523 -121.955778,38.281525 -121.955723,38.283053 -121.955668,38.283053 -121.955572,38.283051 -121.955398,38.283053 -121.955213,38.283055 -121.952329,38.283017 -121.952343,38.282292</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Hemlock Elementary School,41,Primary,Vacaville Unified,400 Hemlock St.,Vacaville,95688,Regular School,Public,2541.62500628000,401632.88957000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.001505,38.366216 -122.001581,38.364853 -122.001583,38.364815 -122.001578,38.364785 -122.001547,38.364697 -122.001551,38.364619 -122.001551,38.36461 -122.001555,38.364601 -122.00156,38.364592 -122.001567,38.364584 -122.001576,38.364577 -122.001586,38.364572 -122.001597,38.364568 -122.001609,38.364566 -122.001621,38.364565 -122.003875,38.36458 -122.003871,38.36548 -122.003856,38.365972 -122.003859,38.366243 -122.001505,38.366216</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Foxboro Elementary School,42,Primary,Travis Unified,600 Morning Glory Dr.,Vacaville,95687,Regular School,Public,2874.04837287000,415658.68895600003,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.964316,38.323995 -121.964371,38.324027 -121.964386,38.324106 -121.965323,38.324701 -121.966819,38.324746 -121.966843,38.326353 -121.966614,38.326323 -121.966422,38.326289 -121.966192,38.326239 -121.966052,38.326208 -121.965885,38.326158 -121.965656,38.326083 -121.965468,38.326014 -121.965207,38.325894 -121.964904,38.325735 -121.96457,38.32551 -121.964361,38.325353 -121.964268,38.325279 -121.964163,38.325188 -121.96405,38.325091 -121.963864,38.324935 -121.963754,38.324839 -121.963658,38.324766 -121.963636,38.324749 -121.963618,38.324728 -121.963613,38.324705 -121.963615,38.324681 -121.963628,38.324661 -121.963657,38.32463 -121.963761,38.324547 -121.963934,38.324393 -121.964316,38.323995</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Golden West Middle School,43,Middle,Travis Unified,2651 Deronde Dr.,Fairfield,94533,Regular School,Public,3056.73259775000,584385.64988799999,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.960525,38.278064 -121.96058,38.275967 -121.962634,38.275984 -121.96325,38.275994 -121.963164,38.278103 -121.960525,38.278064</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Sem Yeto High School,44,High,Fairfield-Suisun Unified,421 Madison Street,Fairfield,94533,Other Alternative School,Public,1263.16577945000,99618.05001130000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.047101,38.246929 -122.046036,38.246926 -122.04604,38.246032 -122.047103,38.246033 -122.047101,38.246929</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Edwin Markham Elementary School,45,Primary,Vacaville Unified,101 Markham Ave.,Vacaville,95688,Regular School,Public,2642.51231009000,419007.86304899998,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.977753,38.368631 -121.977851,38.368643 -121.978285,38.368697 -121.978594,38.368735 -121.978789,38.368749 -121.979005,38.368753 -121.979203,38.368757 -121.979402,38.368763 -121.979601,38.368773 -121.979673,38.368776 -121.979658,38.368931 -121.979653,38.369048 -121.979645,38.369194 -121.97964,38.369347 -121.979635,38.369496 -121.97963,38.369636 -121.979614,38.369783 -121.979606,38.369938 -121.979599,38.370077 -121.97959,38.370226 -121.979588,38.370373 -121.979579,38.370525 -121.979569,38.37067 -121.979561,38.370849 -121.979137,38.370839 -121.977694,38.370787 -121.977684,38.370786 -121.977664,38.370782 -121.977647,38.370773 -121.977636,38.37076 -121.977631,38.370746 -121.977628,38.37073 -121.977679,38.370083 -121.977731,38.369446 -121.977754,38.369073 -121.977753,38.368631</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Vallejo High School,47,High,Vallejo City Unified,840 Nebraska,Vallejo,94590,Regular School,Public,5249.36546817000,1433747.29430000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.246413,38.117283 -122.246341,38.116918 -122.246133,38.116922 -122.246134,38.117275 -122.245582,38.11726 -122.245228,38.11729 -122.245244,38.117099 -122.245243,38.116917 -122.244922,38.116914 -122.244779,38.116914 -122.244749,38.116913 -122.244461,38.116907 -122.244256,38.116907 -122.244012,38.116904 -122.243789,38.116895 -122.243572,38.116888 -122.24324,38.116884 -122.243247,38.116867 -122.243264,38.116789 -122.243274,38.116723 -122.243298,38.115869 -122.243301,38.115703 -122.243316,38.115229 -122.243326,38.114723 -122.243333,38.114196 -122.243323,38.113723 -122.243323,38.113717 -122.243325,38.113712 -122.243327,38.113707 -122.243329,38.113702 -122.243332,38.113696 -122.243335,38.113692 -122.243341,38.113687 -122.243346,38.113683 -122.243351,38.11368 -122.243358,38.113676 -122.243365,38.113673 -122.243372,38.113671 -122.243379,38.11367 -122.243386,38.113669 -122.243508,38.113673 -122.244626,38.113688 -122.245701,38.1137 -122.246701,38.113717 -122.246934,38.113724 -122.247103,38.114447 -122.247362,38.115508 -122.247299,38.115509 -122.247721,38.116929 -122.247806,38.117304 -122.247754,38.117303 -122.246413,38.117283</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Dan Mini Elementary School,48,Primary,Vallejo City Unified,1530 Lorenzo Dr.,Vallejo,94589,Regular School,Public,2489.34106905000,294946.73388499999,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.258116,38.151291 -122.258112,38.151128 -122.258115,38.150971 -122.258121,38.150799 -122.258123,38.150638 -122.25813,38.150468 -122.258123,38.150307 -122.258121,38.150142 -122.258131,38.149973 -122.257766,38.149976 -122.257766,38.149914 -122.258144,38.149918 -122.258145,38.149753 -122.258146,38.149589 -122.258149,38.149388 -122.259913,38.149397 -122.259908,38.149593 -122.259902,38.149761 -122.259902,38.149924 -122.259906,38.150091 -122.2599,38.150255 -122.259902,38.150429 -122.259906,38.150584 -122.259897,38.150747 -122.259897,38.150771 -122.259065,38.150873 -122.258116,38.151322 -122.258116,38.151291</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Federal Terrace Elementary School,49,Primary,Vallejo City Unified,415 Daniels St.,Vallejo,94590,Regular School,Public,2127.91672409000,246619.89675000001,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.268288,38.123496 -122.267071,38.122807 -122.266936,38.122739 -122.266917,38.122726 -122.266906,38.122712 -122.266902,38.122704 -122.266901,38.122694 -122.266902,38.122684 -122.266904,38.122672 -122.266909,38.122663 -122.266914,38.122654 -122.266919,38.122648 -122.26694,38.122629 -122.267083,38.12251 -122.26721,38.122416 -122.267348,38.122338 -122.267482,38.122272 -122.267605,38.122227 -122.268021,38.122107 -122.268179,38.12206 -122.268205,38.122053 -122.268215,38.122053 -122.268222,38.122054 -122.268229,38.122055 -122.268236,38.122056 -122.268243,38.122058 -122.26825,38.12206 -122.268891,38.122406 -122.269123,38.122537 -122.269367,38.122678 -122.269549,38.122777 -122.269239,38.123107 -122.269448,38.123221 -122.269164,38.123532 -122.268783,38.123334 -122.268519,38.12363 -122.268288,38.123496</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Grace Patterson Elementary School,50,Primary,Vallejo City Unified,1080 Porter St.,Vallejo,94590,Regular School,Public,3215.01437811000,467258.84876800003,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.238067,38.081717 -122.237914,38.081554 -122.237705,38.081353 -122.237583,38.081229 -122.237353,38.080979 -122.23718,38.080805 -122.237,38.080621 -122.236783,38.080396 -122.236652,38.080243 -122.236512,38.080104 -122.2365,38.080091 -122.236483,38.080074 -122.236389,38.079986 -122.236207,38.079795 -122.236101,38.079692 -122.235967,38.079545 -122.235934,38.079511 -122.236314,38.079289 -122.236129,38.07914 -122.23608,38.078904 -122.236099,38.078875 -122.236134,38.078893 -122.236167,38.078911 -122.236201,38.078927 -122.236236,38.078944 -122.236273,38.078959 -122.236308,38.078975 -122.236344,38.07899 -122.236381,38.079004 -122.236417,38.079018 -122.236454,38.079031 -122.236508,38.07905 -122.236652,38.079078 -122.236824,38.079097 -122.236978,38.07911 -122.237147,38.079107 -122.237392,38.079093 -122.237555,38.079084 -122.237676,38.079075 -122.23774,38.07907 -122.237866,38.079069 -122.237871,38.07907 -122.237876,38.07907 -122.237881,38.079071 -122.237885,38.079072 -122.23789,38.079073 -122.237895,38.079074 -122.237899,38.079076 -122.237904,38.079077 -122.237909,38.079079 -122.237913,38.07908 -122.237917,38.079082 -122.237922,38.079084 -122.237926,38.079086 -122.23793,38.079088 -122.238014,38.079253 -122.238094,38.079418 -122.238177,38.079629 -122.238289,38.079885 -122.238409,38.080164 -122.238504,38.080373 -122.238527,38.080418 -122.238553,38.080462 -122.238579,38.080507 -122.238605,38.080551 -122.238633,38.080594 -122.238663,38.080637 -122.238712,38.080708 -122.238729,38.08073 -122.238745,38.080752 -122.238762,38.080773 -122.23878,38.080795 -122.238799,38.080816 -122.238816,38.080837 -122.238835,38.080857 -122.238855,38.080878 -122.238876,38.080898 -122.238896,38.080918 -122.238917,38.080937 -122.238938,38.080957 -122.238968,38.080982 -122.238982,38.080994 -122.238996,38.081006 -122.23902,38.081027 -122.239043,38.081048 -122.239067,38.081069 -122.239092,38.081089 -122.239116,38.08111 -122.239142,38.081129 -122.239168,38.081148 -122.239194,38.081167 -122.23922,38.081186 -122.239248,38.081204 -122.239274,38.081222 -122.239302,38.08124 -122.239338,38.081265 -122.239356,38.081279 -122.239374,38.081291 -122.238908,38.081566 -122.238364,38.081564 -122.238067,38.081717</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Franklin Middle School,51,Middle,Vallejo City Unified,501 Starr Ave.,Vallejo,94590,Regular School,Public,2471.95913734000,340545.00735899998,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.233586,38.097479 -122.23371,38.097603 -122.233828,38.097827 -122.234033,38.098251 -122.234225,38.098829 -122.234134,38.09885 -122.233932,38.098899 -122.233738,38.098943 -122.233545,38.098988 -122.233374,38.099025 -122.23329,38.099043 -122.23314,38.099075 -122.232966,38.099115 -122.232817,38.099147 -122.232665,38.099181 -122.232458,38.099227 -122.232293,38.099265 -122.232211,38.099284 -122.232039,38.099323 -122.231788,38.099382 -122.231623,38.09942 -122.231499,38.099447 -122.231487,38.099246 -122.231483,38.099107 -122.231477,38.098965 -122.231473,38.09883 -122.231462,38.098678 -122.23146,38.098556 -122.231442,38.098236 -122.232663,38.097966 -122.232676,38.097963 -122.232688,38.09796 -122.2327,38.097956 -122.232712,38.097953 -122.232724,38.097949 -122.232735,38.097945 -122.232747,38.097941 -122.232759,38.097937 -122.232771,38.097933 -122.232781,38.097928 -122.232794,38.097923 -122.232804,38.097919 -122.232816,38.097913 -122.232827,38.097908 -122.232837,38.097903 -122.232849,38.097897 -122.233486,38.097533 -122.233586,38.097479</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Johnston Cooper Elementary School,52,Primary,Vallejo City Unified,612 Del Mar St.,Vallejo,94589,Regular School,Public,2329.83269859000,310307.12003699999,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.240389,38.127601 -122.240177,38.12763 -122.239977,38.127653 -122.239768,38.127678 -122.23956,38.127695 -122.239348,38.127723 -122.239138,38.12774 -122.238889,38.127764 -122.238796,38.127304 -122.238717,38.126924 -122.238648,38.126548 -122.238614,38.126363 -122.23859,38.126266 -122.23854,38.126024 -122.238526,38.125953 -122.238526,38.125946 -122.238526,38.125942 -122.238528,38.125937 -122.238528,38.125933 -122.23853,38.125927 -122.238531,38.125921 -122.238535,38.125915 -122.238536,38.125911 -122.23854,38.125905 -122.238543,38.125899 -122.238545,38.125896 -122.238549,38.125892 -122.238552,38.125888 -122.238554,38.125885 -122.238557,38.125882 -122.238561,38.125879 -122.238574,38.125871 -122.238591,38.125864 -122.238614,38.125858 -122.238827,38.125817 -122.238879,38.125804 -122.238943,38.125791 -122.238995,38.125777 -122.239045,38.125762 -122.239111,38.125745 -122.239161,38.125729 -122.23925,38.125706 -122.239301,38.125688 -122.239424,38.125645 -122.239475,38.125627 -122.239764,38.125499 -122.239767,38.125497 -122.239769,38.125496 -122.239771,38.125494 -122.239774,38.125492 -122.239776,38.125491 -122.239779,38.12549 -122.239782,38.125488 -122.239784,38.125487 -122.239787,38.125486 -122.23979,38.125485 -122.239793,38.125484 -122.239796,38.125483 -122.239799,38.125482 -122.239802,38.125481 -122.239805,38.12548 -122.239808,38.12548 -122.239811,38.125479 -122.239814,38.125479 -122.239817,38.125478 -122.23982,38.125478 -122.239824,38.125478 -122.239827,38.125478 -122.23983,38.125478 -122.239833,38.125478 -122.239836,38.125478 -122.239839,38.125478 -122.239843,38.125479 -122.239846,38.125479 -122.239849,38.12548 -122.239852,38.12548 -122.239855,38.125481 -122.239858,38.125482 -122.239861,38.125482 -122.239864,38.125483 -122.239867,38.125484 -122.23987,38.125485 -122.239872,38.125487 -122.239875,38.125488 -122.239878,38.125489 -122.23988,38.125491 -122.239883,38.125492 -122.239886,38.125494 -122.239888,38.125495 -122.23989,38.125497 -122.239893,38.125499 -122.239895,38.1255 -122.239897,38.125502 -122.239899,38.125504 -122.239901,38.125506 -122.239903,38.125508 -122.239905,38.12551 -122.239906,38.125512 -122.239908,38.125514 -122.239909,38.125517 -122.239911,38.125519 -122.239912,38.125521 -122.239913,38.125523 -122.239914,38.125526 -122.239915,38.125528 -122.239916,38.125531 -122.239917,38.125533 -122.239918,38.125535 -122.239918,38.125538 -122.239919,38.12554 -122.239991,38.125851 -122.240072,38.126267 -122.240123,38.12652 -122.240171,38.126777 -122.240234,38.127106 -122.240272,38.127255 -122.240312,38.127389 -122.240353,38.12752 -122.240389,38.127601</coordinates></LinearRing></outerBoundaryIs></Polygon>"
